reference_id,pubmed_id,doi,title,authors,journal,year,github_url,open_access,status,confidence
1068,41674109,10.1002/jia2.70078,Sustaining Rwanda's HIV response after elimination of PEPFAR funding: a modelling analysis of HIV epidemic and care continuum outcomes.,"Kimmel April D, Pan Zhongzhe, Murenzi Gad, Brazier Ellen, Elul Batya, Muhoza Benjamin, Yotebieng Marcel, Anastos Kathryn et al.",Journal of the International AIDS Society,2026,,False,PENDING,"{""has_doi"": true, ""relevance"": 0.467, ""has_github"": false, ""has_abstract"": true}"
1150,41627223,10.1063/5.0311347,Fractional nonlinear dynamics and forward bifurcation in a memory-based cholera model.,"Yang Zixuan, Shen Jianwei","Chaos (Woodbury, N.Y.)",2026,,False,PENDING,"{""has_doi"": true, ""relevance"": 0.533, ""has_github"": false, ""has_abstract"": true}"
495,41338380,10.1016/j.mbs.2025.109587,"Environmental drivers of tuberculosis transmission in Guangdong, China: Integrating generalized additive models and dynamic simulations.","Kong Lingming, Mo Yanying, Zhu Guanghu, Chen Liang, Wang Zhen",Mathematical biosciences,2026,,False,PENDING,"{""has_doi"": true, ""relevance"": 0.467, ""has_github"": false, ""has_abstract"": true}"
605,41609961,10.1007/s11538-026-01597-4,Robust Inverse Reconstruction of Time-Varying Transmission Rates Across Model Structures and Incidence Forms.,"Wang Xiunan, Wang Hao",Bulletin of mathematical biology,2026,,False,PENDING,"{""has_doi"": true, ""relevance"": 0.467, ""has_github"": false, ""has_abstract"": true}"
473,41691157,10.1186/s12879-025-12507-9,The impact of treatment accessibility on HIV-TB co-infection: a comparative fractional-order modeling approach.,"Celestine Agbata Benedict, Gümüş Mehmet, Awasthi A K, Emadifar Homan, Smerat Aseel, Bolaji Bolarinwa",BMC infectious diseases,2026,,False,PENDING,"{""has_doi"": true, ""relevance"": 0.533, ""has_github"": false, ""has_abstract"": true}"
780,41321682,10.1016/j.idm.2025.10.007,An age-structured mathematical model to assess the combined effects of vaccine and non-vaccine interventions on malaria transmission and burden.,"Glèlè Kakaï Romain, Djomatin Ludosky Crédo",Infectious Disease Modelling,2026,,False,PENDING,"{""has_doi"": true, ""relevance"": 0.425, ""has_github"": false, ""has_abstract"": true}"
769,41459133,10.1016/j.idm.2025.11.006,Impact of age-structured migration on malaria burden: A modelling-empirical analysis in sub-Saharan Africa.,"Harikripal, Pascal Zabre S, Danquah Ina, Bhattacharyya Samit",Infectious Disease Modelling,2026,,False,PENDING,"{""has_doi"": true, ""relevance"": 0.442, ""has_github"": false, ""has_abstract"": true}"
1374,41438605,10.1016/j.idm.2025.11.003,Dynamics and forecasting of an age-structured stochastic SIR model with Lévy perturbations via physics-informed neural networks.,"Zhang Ge, Wang Zhihao, Li Zhiming, Chen Shenglong, Chen Qiaoling",Infectious Disease Modelling,2026,,False,PENDING,"{""has_doi"": true, ""relevance"": 0.5, ""has_github"": false, ""has_abstract"": true}"
508,41650118,10.1371/journal.pgph.0004853,Combination interventions to control the tuberculosis epidemic in the Karamoja subregion of Uganda: A modelling analysis.,"Zawedde-Muyanja Stella, Najjemba Letisha, Nsubuga Tadeo, Picho Brenda, Alfred Etwom, Dowdy David, Ryckman Theresa",PLOS global public health,2026,,False,PENDING,"{""has_doi"": true, ""relevance"": 0.458, ""has_github"": false, ""has_abstract"": true}"
896,41514311,10.1186/s41182-025-00890-7,Managing and controlling diseases transmitted by Aedes mosquitoes: a review on best practices.,"Ebrahimi Rasoul, Nejadghaderi Seyed Aria, Khalili Mohammad, Haghdoost AliAkbar, Aghaei-Afshar Abbas, Sharifi Hamid",Tropical medicine and health,2026,,False,PENDING,"{""has_doi"": true, ""relevance"": 0.3, ""has_github"": false, ""has_abstract"": true}"
